,ApplicationApproved,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Avg30DayGamblingSpend,Avg30DayCashWithdrawals,NumberOfDirectDebitsFailingLast30Days,CreditCardUsedForUtilities,Avg30DayBenefitsReceived
15,0,0.9999999,43,98,0.0,,0,98,0,98,0,67.49309620436242,0.0,0,1,0.0
16,0,0.9999999,28,98,0.0,1664.0,0,98,0,98,0,61.33495359362875,0.0,4,0,0.0
17,1,0.0,23,0,0.079100749,1200.0,1,0,0,1,0,88.96642602412467,54.62633180192161,2,1,0.0
18,1,0.9999999,39,98,0.0,,0,98,0,98,0,44.85851741637815,45.02029714644079,3,1,0.0
19,0,0.9999999,65,98,0.026164462,3477.0,0,98,0,98,1,77.51515520378716,274.8719242339372,4,1,546.6363149765234
20,1,0.377264732,43,3,0.707087672,2976.0,19,0,2,1,1,38.80614280742821,66.60859681546187,2,0,0.0
21,1,0.9999999,29,98,0.0,,0,98,0,98,0,46.21087722398487,143.20953227954146,3,1,0.0
22,0,0.9999999,26,98,3.0,,0,98,0,98,0,65.81347199277138,0.0,0,0,0.0
23,1,0.9999999,33,98,0.008055236,3475.0,0,98,0,98,2,32.921640989985,80.03354649817578,1,0,0.0
24,0,0.9999999,59,98,3.0,,0,98,0,98,0,81.82260549972911,74.05286768850316,5,1,563.6693189254984
25,1,0.9999999,59,98,0.0,,0,98,0,98,0,46.82068053149961,107.99209389620395,3,1,575.8016552855015
26,0,0.9999999,41,98,0.0,2300.0,0,98,0,98,1,67.05493643076721,54.2456193707645,0,1,0.0
27,0,0.9999999,32,98,0.0,1800.0,0,98,0,98,0,78.58073506496589,0.0,0,1,0.0
28,1,0.9999999,24,98,0.0,,0,98,0,98,0,76.36646570596007,25.06240509553934,1,1,0.0
29,0,0.9999999,68,98,3.0,,0,98,0,98,0,83.79133508541145,220.52420395622613,5,1,522.6764488441265
30,0,0.9999999,59,98,0.0,2180.0,0,98,0,98,0,72.01083401167338,36.64867662405381,1,0,541.8572654233293
31,1,0.9999999,23,98,0.0,,0,98,0,98,0,34.56291976807349,0.0,2,0,0.0
32,0,0.9999999,30,98,0.024979184,1200.0,0,98,0,98,0,76.91866257397517,120.0,5,1,0.0
33,0,0.9999999,52,98,3.0,,0,98,0,98,0,71.88139594594912,77.2054042672327,2,0,551.3218871344479
34,1,0.9999999,54,1,0.18419951,16720.0,5,0,1,1,3,66.14481167120803,59.77833020866158,1,0,531.8001160038041
35,1,0.972881909,46,3,0.769292283,2500.0,8,0,0,4,3,74.2444412266926,45.51309851583928,4,1,0.0
36,0,0.9999999,29,98,0.0,1647.0,0,98,0,98,0,74.21147365414461,0.0,4,0,0.0
37,1,0.9999999,72,98,0.004887803,4500.0,0,98,0,98,0,48.532856640650735,0.0,1,1,516.547896478651
38,0,0.9999999,56,1,0.176040495,5333.0,3,3,1,3,1,63.07712718702304,200.92610143082385,2,0,530.5272395891805
39,1,0.516644474,53,0,0.699391547,6080.0,16,0,1,2,0,115.91867317789152,0.0,2,0,541.3592650222873
40,1,0.845100754,36,3,0.944527736,2000.0,7,4,1,1,0,74.72215961261824,0.0,3,0,0.0
41,0,0.9999999,25,98,0.0,3992.0,0,98,0,98,2,89.10908452654218,39.27460856634921,3,0,0.0
42,0,0.9999999,28,98,0.033707865,1245.0,0,98,0,98,0,70.92389881847882,11.90708394072059,4,0,0.0
43,1,0.9999999,39,3,1.535027898,1612.0,1,0,1,1,3,73.65866804731189,45.571565134009504,3,0,0.0
44,1,0.9999999,23,98,0.0,,0,98,0,98,0,39.17973204040676,39.68407212297173,2,0,0.0
45,1,0.9999999,40,98,0.0,7218.0,0,98,0,98,2,80.3266276657157,102.52218704377876,3,0,0.0
46,1,0.9999999,27,98,0.0,,0,98,0,98,0,64.68265358814268,0.0,2,0,0.0
47,0,0.9999999,37,98,0.0,6000.0,0,98,0,98,1,85.20848802222807,0.0,3,0,0.0
48,1,0.868065967,35,7,0.345936156,4416.0,14,0,2,3,1,61.761501531355314,267.1227450625677,1,1,0.0
49,0,0.9999999,25,98,0.0,2200.0,0,98,0,98,0,66.76841481482674,52.72714841367306,2,0,0.0
50,1,0.9999999,39,98,0.0,3208.0,0,98,0,98,0,99.404564240395,158.6327156935135,4,1,0.0
51,0,0.9999999,25,98,0.0,640.0,0,98,0,98,0,83.33408675563481,0.0,5,1,0.0
52,0,0.91160442,59,3,0.775678338,11166.0,7,5,1,2,0,76.60778949833897,0.0,1,1,530.2238974084081
53,0,0.9999999,58,98,0.073789393,1300.0,0,98,0,98,2,67.37542482144337,49.07790242816832,4,0,585.1120303862555
54,0,0.9999999,30,98,0.0,,0,98,0,98,0,69.32613268585273,0.0,4,1,0.0
55,0,0.655651902,31,0,0.482299042,2400.0,11,0,2,1,2,92.05954021554508,5.768492140376651,0,0,0.0
56,1,0.9999999,36,0,0.49663841,3420.0,5,1,1,4,2,55.52631572048277,90.0616809228278,3,0,0.0
57,1,0.217156569,50,0,0.12805107,5325.0,4,0,0,1,0,101.38176904381636,139.0919437374361,0,1,0.0
58,0,0.9999999,25,98,3.0,,0,98,0,98,0,71.41871645518891,40.920289958493655,5,0,0.0
59,0,0.864135864,26,1,0.130623126,3000.0,6,0,0,2,2,65.9948762778795,0.0,4,0,0.0
60,0,0.550754397,39,2,0.525252525,3167.0,7,0,0,1,0,96.33565184129084,104.32159228612682,5,1,0.0
61,1,0.9999999,48,98,0.0,4000.0,0,98,0,98,1,95.92891919106444,31.13993368822144,0,0,0.0
62,0,0.9999999,23,98,0.006922012,2166.0,0,98,0,98,0,79.45670059798609,80.31799883436011,5,0,0.0
63,0,0.9999999,48,98,0.0,1200.0,0,98,0,98,0,74.2057187574026,0.0,5,1,0.0
64,1,0.9999999,22,98,0.0,300.0,0,98,0,98,0,35.863026212129945,30.0,1,0,0.0
65,0,0.9999999,29,96,0.0,2800.0,0,96,0,96,2,75.30309394030972,216.8454817724318,4,0,0.0
66,0,1.089460292,63,1,3.0,,5,2,0,2,0,73.11699149660876,21.782443237852213,5,0,550.9538672327035
67,0,0.9999999,49,98,0.0,,0,98,0,98,0,67.3806805031159,0.0,4,1,0.0
68,1,0.540228089,46,2,3.0,,5,0,1,1,0,43.79560761471405,106.82782892790009,3,1,0.0
69,1,0.9999999,52,1,3.0,,0,0,0,2,3,65.90786374472499,132.80615345502991,1,0,571.5193425086097
70,1,0.9999999,45,98,0.242192922,1440.0,0,98,0,98,0,87.7848561546923,95.0743217412647,4,1,0.0
71,0,0.613545817,32,0,0.101767542,5600.0,3,0,0,1,0,72.93692204975345,113.59951084269316,0,0,0.0
72,1,0.9999999,27,98,0.0,,0,98,0,98,0,70.68687468896306,158.9073239174308,2,1,0.0
73,1,0.9999999,27,98,0.0,3000.0,0,98,0,98,0,118.25595071207594,0.0,3,0,0.0
74,1,0.9999999,37,0,0.131046931,2769.0,1,0,0,1,2,49.70201660847808,111.15658633277678,4,1,0.0
75,1,0.603445624,48,2,0.127428383,12147.0,6,1,0,3,0,72.36147733810292,54.04664317368894,0,1,0.0
76,1,0.9999999,23,98,0.0,2800.0,0,98,0,98,0,64.45041550253481,28.036215521706684,2,1,0.0
77,1,0.9999999,21,98,0.0,2000.0,0,98,0,98,0,70.93085918370936,165.26636445890227,4,0,0.0
78,0,0.9999999,21,98,0.0,,0,98,0,98,0,74.30664139827716,49.72981985037962,3,0,0.0
79,0,0.9999999,54,98,0.0,,0,98,0,98,0,73.21687481840395,44.24061144430403,2,0,552.8108878844241
80,1,0.961940945,54,3,1.567576677,2966.0,5,2,1,3,0,74.62486347010419,0.0,1,1,501.0260839061239
81,1,0.397177024,34,0,0.036502547,2355.0,4,0,0,1,2,52.08648656731123,178.61199281155996,0,0,0.0
82,1,0.9999999,24,98,0.0,,0,98,0,98,0,52.008731366218925,208.19655081446976,1,0,0.0
83,0,0.9999999,54,98,0.012993503,2000.0,0,98,0,98,0,89.21904833156842,146.77126031024537,3,0,548.194396885229
84,1,0.9999999,44,98,0.0,,0,98,0,98,0,100.7179933856732,148.23681941719462,1,1,0.0
85,0,0.978206203,54,3,0.592592593,3833.0,10,3,2,1,0,72.90861237213744,0.0,2,0,554.0398642436372
86,0,0.9999999,33,98,0.0,3350.0,0,98,0,98,1,73.42429060588903,0.0,3,0,0.0
87,0,0.9999999,42,98,0.0,3200.0,0,98,0,98,1,69.16289533690646,36.74322354400645,1,1,0.0
88,1,0.9999999,22,98,0.0,,0,98,0,98,0,38.25196241986772,91.83464435509246,4,0,0.0
89,0,0.9999999,60,98,0.0,,0,98,0,98,0,68.01852812863731,39.42425976193476,0,0,507.5670410384585
90,0,0.433718324,59,3,0.821529745,6000.0,5,0,1,1,1,62.952831232912345,81.67027648834923,3,0,554.8623411938671
91,1,0.828085957,50,3,0.038971638,4900.0,7,0,0,3,0,113.33143075756944,0.0,3,1,0.0
92,0,0.9999999,21,98,0.0,1300.0,0,98,0,98,0,92.45055225292684,81.4715417114667,1,0,0.0
93,1,0.9999999,52,98,0.0,3000.0,0,98,0,98,0,43.22073082750271,177.57757437236182,2,0,565.8374799003402
94,1,0.9999999,24,98,0.0,750.0,0,98,0,98,0,72.73422899176006,75.0,3,0,0.0
95,0,0.9999999,53,98,0.0,,0,98,0,98,0,69.63173946801376,193.335178925968,3,0,553.4163545907935
96,1,0.9999999,21,98,0.0,0.0,0,98,0,98,0,0.0,0.0,4,0,0.0
97,0,0.9999999,60,98,0.0,1375.0,0,98,0,98,0,85.63772903502306,58.08197186420446,2,1,510.4218174656914
98,1,1.980066445,39,0,3.0,,6,3,1,2,0,57.33458303276243,0.2741223304695594,4,1,0.0
99,1,0.9999999,27,98,0.0,2400.0,0,98,0,98,0,63.9675388113137,200.6470503944429,2,0,0.0
100,0,0.892388101,57,0,0.497158014,7916.0,8,0,1,1,1,89.03120288113514,143.21709923473531,0,0,562.2343527191231
101,1,0.152039555,46,0,0.330583677,8000.0,8,0,0,1,2,77.45934940301768,222.2661771120635,3,1,0.0
102,0,0.9999999,34,98,0.0,3144.0,0,98,0,98,2,90.58270104694007,159.47773095773428,5,0,0.0
103,1,0.040065776,37,0,0.31518228,6500.0,8,0,2,1,0,45.92268578935207,29.648600288303378,4,0,0.0
104,0,0.9999999,22,98,0.0,,0,98,0,98,0,65.06688559519932,123.78753586653006,4,1,0.0
105,1,0.9999999,25,98,0.0,1.0,0,98,0,98,0,0.3,0.0,0,0,0.0
106,1,0.9999999,37,98,0.0,,0,98,0,98,0,54.70659892815466,49.84172077406581,0,0,0.0
107,1,0.93971773,64,2,0.370181491,6666.0,10,2,1,1,0,59.89771162419757,12.315753386611938,1,0,504.60451588520766
108,1,0.9999999,24,98,0.0,3345.0,0,98,0,98,0,58.73776853542762,160.08099864779678,2,1,0.0
109,0,1.704590818,67,0,3.0,,2,2,0,2,0,69.64984316728994,32.523017305084764,3,1,556.0570205538044
110,0,0.9999999,28,98,0.0,2400.0,0,98,0,98,1,81.27842270950752,8.095959112052434,4,0,0.0
111,0,0.9999999,42,98,0.0,3830.0,0,98,0,98,0,71.26877902486444,266.66083224230545,0,0,0.0
112,1,0.9999999,22,98,0.0,,0,98,0,98,0,63.11037895413477,215.59614869466725,1,0,0.0
113,0,0.9999999,29,98,3.0,,0,98,0,98,0,76.5825117957022,0.0,4,1,0.0
114,0,1.263473054,37,1,0.335584977,3700.0,6,2,1,5,1,64.19530639328867,152.05964354642833,3,1,0.0
115,1,0.9999999,21,98,0.0,,0,98,0,98,0,98.35687905269714,0.0,4,1,0.0
116,1,0.9999999,23,98,0.0,,0,98,0,98,0,106.47912205851812,0.0,4,1,0.0
117,0,0.767116442,52,1,0.721561969,5300.0,12,3,2,4,1,64.89799833576245,0.0,3,1,517.7751219528649
118,0,0.9999999,23,98,0.0,,0,98,0,98,0,61.92750414757095,0.0,1,1,0.0
119,1,0.9999999,21,98,0.0,,0,98,0,98,0,99.44614959831743,176.0673618007889,2,1,0.0
120,0,0.9999999,27,98,3.0,,0,98,0,98,0,68.75554573742762,96.1215825021457,4,1,0.0
121,0,0.9999999,51,98,0.0,7500.0,0,98,0,98,0,77.29970455462868,223.7771657002544,5,1,553.118452805676
122,0,0.9999999,23,98,0.0,,0,98,0,98,0,82.22378286367444,21.48748203003805,0,0,0.0
123,1,1.169718105,29,0,0.631954351,700.0,4,0,0,3,0,92.47359006187298,53.28732597058823,0,1,0.0
124,1,0.9999999,21,98,0.0,867.0,0,98,0,98,0,65.73107378037535,0.0,2,1,0.0
125,1,0.97960204,35,1,0.365037518,4930.0,7,0,1,1,1,69.59279368270597,9.272201746256036,2,1,0.0
126,1,0.016110251,75,0,0.337665584,4000.0,13,0,2,1,0,97.97387562003476,239.3513196862585,3,1,510.5882013681275
127,0,0.433133733,42,1,3.0,,2,0,0,1,0,72.82954588120664,245.22937936434664,4,1,0.0
128,1,0.9999999,28,98,0.0,1400.0,0,98,0,98,0,46.32527207983844,140.0,2,0,0.0
129,0,0.9999999,22,98,0.0,800.0,0,98,0,98,0,65.52120483021838,55.90148201504788,5,0,0.0
130,0,0.9999999,31,0,3.0,,4,7,0,7,0,79.73771505919773,107.74492515155993,5,1,0.0
131,1,0.9999999,43,98,0.0,2000.0,0,98,0,98,1,46.45966157957336,0.0,3,0,0.0
132,0,0.9999999,39,98,3.0,,0,98,0,98,0,74.89107038625852,74.48038804982625,1,0,0.0
133,1,0.9999999,46,98,0.0,1879.0,0,98,0,98,1,85.92004613309498,173.70209582722435,1,1,0.0
134,1,1.006086295,59,1,0.605421018,4500.0,6,2,1,2,0,49.71194061471927,98.77425062683017,3,1,528.6492199239536
135,1,1.460599334,62,4,3.0,,7,0,2,2,0,41.12479733700136,250.0585408815956,2,1,537.3341932659399
136,1,0.9999999,25,98,0.0,1958.0,0,98,0,98,0,52.89230536058739,111.88652449849776,2,1,0.0
137,0,0.9999999,22,98,0.0,0.0,0,98,0,98,0,0.0,0.0,4,0,0.0
138,1,0.9999999,26,98,0.0,2305.0,0,98,0,98,0,59.79011842794027,0.0,0,0,0.0
139,0,0.918944793,26,1,3.0,,7,0,0,2,0,65.96534643051012,188.20766371744483,2,1,0.0
140,0,0.9999999,55,98,0.0,,0,98,0,98,0,78.49284282987082,38.80489333896221,5,1,529.0465146747771
141,1,0.857023381,55,3,0.34228474,9383.0,13,0,1,1,0,74.43934566979405,0.0,3,0,541.6246735966782
142,0,0.9999999,25,98,3.0,,0,98,0,98,0,68.89839337374363,135.01276272657103,4,0,0.0
143,1,0.9999999,49,98,0.0,3000.0,0,98,0,98,0,67.43789959869335,81.4784441784497,0,0,0.0
144,0,0.755407654,45,0,0.092575449,5400.0,3,4,0,6,1,99.59846965893269,0.0,2,0,0.0
145,1,0.9999999,23,98,0.0,3635.0,0,98,0,98,0,40.089666358251726,0.0,4,0,0.0
146,0,0.9999999,47,98,0.0,,0,98,0,98,0,85.59254766706056,86.85591453656528,2,1,0.0
147,0,0.9999999,57,98,0.0,2500.0,0,98,0,98,1,78.01441221101737,192.0372098675556,0,0,529.963329273266
148,0,0.9999999,27,98,0.0,2700.0,0,98,0,98,0,80.90105670140406,9.833266886728474,5,0,0.0
149,0,0.9999999,30,98,0.0,800.0,0,98,0,98,0,81.51924710446977,0.0,0,1,0.0
150,1,0.9999999,27,98,0.0,1984.0,0,98,0,98,0,58.17088453799437,0.0,1,0,0.0
151,0,0.9999999,41,98,0.0,,0,98,0,98,0,95.00005918771988,0.0,1,0,0.0
152,1,0.701826522,45,1,0.645195243,9500.0,10,0,2,1,3,57.24978636542653,0.0,0,0,0.0
153,0,0.9999999,40,98,0.010938924,3290.0,0,98,0,98,3,78.3457553640448,0.0,1,1,0.0
154,1,0.9999999,43,0,0.141447807,7500.0,3,0,1,3,0,50.41057115707373,79.94002735822869,4,1,0.0
155,1,0.9999999,50,98,3.0,,0,98,0,98,0,47.70142656334557,230.5412252863753,1,1,0.0
156,0,0.9999999,44,98,0.0,6283.0,1,98,0,98,2,70.38245585516137,131.7179483158261,4,0,0.0
157,0,0.9999999,47,98,0.0,600.0,0,98,0,98,0,81.5049521146289,0.0,5,0,0.0
158,0,0.9999999,26,98,0.0,674.0,0,98,0,98,1,74.89811837836332,0.0,2,1,0.0
159,0,1.878292461,66,1,0.294759164,3300.0,4,2,1,1,0,71.2201228452643,83.54544072969108,5,0,521.0514412911721
160,0,0.520417391,81,1,1.535916824,1057.0,15,0,2,2,0,71.56743129668155,60.71593730095074,1,0,509.0007008037813
161,0,0.757789536,46,0,0.128820337,3500.0,6,2,0,4,1,69.8746599781293,117.82626376181628,5,1,0.0
162,0,0.9999999,36,98,0.007936508,3275.0,0,98,0,98,2,106.30214525293528,162.64083024578096,5,1,0.0
163,1,0.9999999,58,1,0.459135489,2752.0,3,2,1,1,0,59.99429278824077,86.37758067020464,3,1,511.95040337091103
164,1,0.705429457,36,0,0.057995167,12000.0,4,0,0,1,1,57.43081645528136,0.0,3,1,0.0
165,1,0.572304518,36,0,0.38845234,5853.0,8,0,2,1,1,74.90135579981762,130.68484398362142,4,1,0.0
166,1,0.441222424,41,1,0.353097935,1500.0,5,0,0,2,0,90.9422921728028,0.0,4,0,0.0
167,1,0.9999999,22,98,0.0,0.0,0,98,0,98,0,0.0,0.0,2,0,0.0
168,1,0.097828927,66,0,0.031806495,10500.0,19,0,0,1,0,73.09460311967644,152.4730436287868,2,0,557.8198897749993
169,1,0.9999999,22,98,0.0,,0,98,0,98,0,55.77186679813013,132.58166124462332,4,1,0.0
170,1,0.9999999,22,98,0.0,4500.0,0,98,0,98,0,42.21884810829973,0.0,3,1,0.0
171,0,1.416131335,29,4,0.363754889,2300.0,7,0,0,3,0,72.43405523189824,0.0,1,1,0.0
172,0,0.9999999,21,98,0.0,2300.0,0,98,0,98,0,81.67246346704476,25.19837327072002,3,0,0.0
173,0,0.9999999,31,98,0.0,1440.0,0,98,0,98,1,75.55751424360791,70.00345872544095,3,1,0.0
174,0,0.9999999,65,98,0.012215436,1800.0,0,98,0,98,0,71.54350132706105,14.999853927794128,4,1,523.023698403288
175,1,0.9999999,34,98,0.010934083,3200.0,0,98,0,98,0,79.58498193632425,114.08289021715142,2,0,0.0
176,1,0.466982039,58,0,0.749535237,11833.0,22,0,5,1,0,71.10856039334193,0.0,1,0,569.2889999095462
177,0,0.9999999,25,98,0.0,3360.0,0,98,0,98,0,66.59181593535138,0.0,5,1,0.0
178,1,0.0,41,0,0.362842812,15350.0,8,0,2,1,3,83.93033050433343,237.90635854779808,1,0,0.0
179,0,0.9999999,43,98,3.0,,0,98,0,98,0,70.8575875735497,14.32029149353152,0,1,0.0
180,1,0.9999999,34,98,0.0,,0,98,0,98,0,71.99846291919945,103.3041944793324,4,0,0.0
181,1,0.9999999,39,98,0.0,,0,98,0,98,1,43.6218677720248,54.72319045057938,1,1,0.0
182,1,0.9999999,28,98,0.019300362,1657.0,0,98,0,98,1,92.77679692947156,109.02674258342064,1,0,0.0
183,1,0.471648404,50,0,0.68137439,5325.0,8,0,2,2,0,47.45980745467746,172.41849063643275,3,1,0.0
184,1,0.9999999,22,98,0.0,,0,98,0,98,0,82.10571453638775,0.0,1,1,0.0
185,0,0.9999999,28,0,0.255163728,3969.0,5,2,0,3,0,65.1123964110079,166.39233601272454,4,0,0.0
186,0,0.9999999,48,98,0.0,2000.0,0,98,0,98,2,75.81740223985497,200.0,5,0,0.0
187,1,0.9999999,56,98,0.0,7781.0,0,98,0,98,5,56.758785223088665,47.71058782987608,1,0,554.6613122173205
188,1,0.02429919,45,0,0.797250859,3200.0,7,0,2,1,2,82.8615697641818,0.0,0,1,0.0
189,1,0.9999999,43,0,3.0,,1,0,0,1,0,52.104603505020975,0.0,1,0,0.0
190,1,0.9999999,27,98,0.0,1821.0,0,98,0,98,2,103.00426371390026,0.0,2,1,0.0
191,1,0.9999999,28,98,0.0,,0,98,0,98,0,67.75295309650909,27.14569741192226,2,0,0.0
192,0,1.449251248,49,0,0.162706983,4166.0,3,0,0,3,0,76.49223076488967,0.0,1,1,0.0
193,0,0.9999999,33,98,0.0,4100.0,0,98,0,98,1,82.23284946312035,138.57058977363803,3,1,0.0
194,0,0.9999999,43,98,0.001717475,2328.0,0,98,0,98,2,72.78055848940315,63.493410190109714,5,0,0.0
195,0,0.9999999,23,98,0.0,,0,98,0,98,0,74.73766842765818,146.3722945042595,0,0,0.0
196,1,0.9999999,21,98,0.0,2400.0,0,98,0,98,0,60.33608389244968,0.0,1,1,0.0
197,1,0.9999999,46,98,3.0,,0,98,0,98,0,84.49472926155772,183.24046128665168,1,1,0.0
198,1,0.855349926,23,1,0.146163216,820.0,4,0,0,1,0,68.32055454479443,62.82214440548419,1,1,0.0
199,1,0.9999999,21,98,0.0,,0,98,0,98,0,81.58706237428223,128.78972725661168,0,0,0.0
200,1,0.0,36,4,0.437849944,6250.0,11,0,2,1,0,74.35106851038924,228.1056623004013,4,0,0.0
201,0,0.9999999,35,98,0.0,2250.0,0,98,0,98,2,71.37822860122634,0.0,4,0,0.0
202,1,0.173413293,34,1,3.0,,7,0,1,1,0,53.25362431561061,134.44410591606828,3,1,0.0
203,0,0.9999999,31,98,0.0,2540.0,0,98,0,98,2,78.40031616172271,81.87657133903993,0,0,0.0
204,1,0.9999999,21,98,0.0,400.0,0,98,0,98,0,85.45189614128799,40.0,4,1,0.0
205,1,0.9999999,24,0,0.000555093,3602.0,0,1,0,1,0,67.35720657606919,0.0,4,0,0.0
206,0,0.9999999,25,98,3.0,,0,98,0,98,0,113.35248320973592,58.65453498142473,5,0,0.0
207,1,0.9999999,23,98,0.0,3553.0,0,98,0,98,0,45.56154491406272,62.00344633648853,2,0,0.0
208,1,0.0,70,1,0.080141517,6500.0,12,0,0,1,0,94.9372373831722,74.1228918416811,0,1,573.7115781478407
209,0,0.9999999,62,98,0.0,,0,98,0,98,0,70.5061148466663,147.0572948383261,1,0,536.9665865443176
210,0,0.0,55,4,3.0,,17,1,1,4,0,68.33436229593674,92.7879729092834,5,0,572.2821347125484
211,0,0.748634386,30,3,0.200933631,4926.0,7,0,0,2,3,67.5831789965306,169.21871227175396,0,0,0.0
212,1,0.859159532,68,0,0.203331608,21250.0,6,0,1,1,1,53.22874848388253,243.74326383110144,4,1,555.8499684651333
213,0,1.329024677,55,3,0.294877135,2400.0,5,1,0,1,0,69.97325085490532,124.74938152966008,4,0,563.8608958820303
214,1,0.9999999,29,98,0.0,,0,98,0,98,0,36.3588325361633,0.0,0,0,0.0
215,0,0.880288958,27,3,0.284583333,2399.0,8,1,0,2,0,71.78458473717437,106.46991385372968,4,0,0.0
216,1,0.016431988,46,0,0.004555809,3950.0,2,0,0,1,0,97.83840437015162,116.05588444389642,0,1,0.0
217,0,0.9999999,25,98,0.0,,0,98,0,98,0,82.22098841468146,75.93532931874482,4,0,0.0
218,1,0.9999999,21,98,0.0,,0,98,0,98,0,84.6924819329369,46.26429375541206,4,1,0.0
219,1,0.391321024,44,0,0.381021632,5500.0,8,0,1,1,3,87.62740804602481,0.0,3,1,0.0
220,1,0.9999999,32,0,3.0,1.0,11,2,0,3,0,0.3,0.1,3,1,0.0
221,1,0.866614867,48,3,0.789051764,4365.0,4,0,1,1,3,83.24222778759218,14.14430671553319,3,0,0.0
222,0,0.9999999,58,98,0.0,,0,98,0,98,0,66.55998282233371,66.82271063382467,0,0,589.142527335732
223,1,0.9999999,52,98,0.0,,0,98,0,98,0,51.36370184815547,0.0,4,1,577.6358061566056
224,1,0.9999999,56,0,0.038308871,10832.0,0,1,0,1,0,67.91161832579667,50.256088857081245,0,1,553.2960692267742
225,1,0.230104833,38,0,0.563944029,6145.0,12,0,2,1,2,97.79289481406116,205.7476729805529,3,1,0.0
226,1,0.784746706,47,2,1.455077846,7000.0,11,0,2,2,2,82.17597083802528,14.231238303496752,4,0,0.0
227,1,0.793082818,47,0,0.503490691,6015.0,10,0,1,1,0,40.85061973029377,189.6642811897644,4,1,0.0
228,1,0.249433409,51,4,0.164723032,6173.0,7,1,0,4,0,87.16247978698539,0.0,4,0,568.4881669285187
229,0,0.9999999,26,98,0.0,1000.0,0,98,0,98,0,63.188866207078014,100.0,3,0,0.0
230,0,0.9999999,30,98,0.0,338.0,0,98,0,98,0,90.0568262470391,0.0,0,1,0.0
231,0,0.0499002,30,0,0.0,2500.0,1,5,0,1,0,69.00286150043574,199.2380898029816,5,0,0.0
232,0,0.9999999,25,98,3.0,,0,98,0,98,0,68.29179369840591,0.0,2,0,0.0
233,1,0.200946608,54,1,0.508915181,6000.0,17,0,1,2,1,84.1708469189373,116.135361401354,0,1,545.9972427770412
234,1,0.68107973,48,2,0.504033672,2850.0,9,0,1,1,3,66.43445940124448,86.40254686332815,3,0,0.0
235,0,0.9999999,63,98,0.0,986.0,0,98,0,98,0,65.92762754901534,0.0,0,0,493.0
236,0,1.867109635,85,4,0.475809676,2500.0,10,1,0,2,0,90.0057292478587,0.0,1,0,541.5891167092486
237,1,0.9999999,39,98,0.0,1264.0,0,98,0,98,2,80.10540779210424,53.207492845062646,3,1,0.0
238,0,0.9999999,25,98,0.0,,0,98,0,98,0,79.24850289856248,0.0,3,0,0.0
239,0,0.9999999,40,98,3.0,,0,98,0,98,0,93.1632660140062,0.0,0,0,0.0
240,1,0.754624258,45,2,0.554621063,10700.0,12,0,4,2,0,87.22753092194438,0.0,2,0,0.0
241,1,0.671176921,61,0,0.3513842,7404.0,16,7,0,1,0,89.5915051350728,0.0,0,0,528.3693815858467
242,0,0.060934008,27,0,0.18137675,3500.0,6,0,0,1,0,69.6567356057884,0.0,3,1,0.0
